0 3450005,5500005,2070015,4370005,5690020,1510075,3480610,4610385 11100100 4,35,11,8,31,30,143
0 3450005,5500005,2070015,4370005,5690020,1510075,3480610,4610385 11100101 101,0,9,54,3,150,66
0 3450005,5500005,2070015,4370005,5690020,1510075,6601180,4632010 11100000 0,0,6,0,0,0,0
0 3450005,5500005,2070015,4370005,5690020,1510075,6601180,4632010 11100001 0,0,1,29,0,0,0
0 3450005,5500005,2070015,4370005,5690020,1510075,6601180,5482415 11100010 0,0,21,14,0,0,0
0 3450005,5500005,2070015,4370005,5690020,1510075,6601180,5482415 11100011 0,0,145,6,0,0,1
1 3450005,5500005,2070015,4370005,5690020,1510075,3480610,4570255 11100110 2,20,212,13,1,7,5
1 3450005,5500005,2070015,4370005,5690020,1510075,3480610,4570255 11100111 2,126,53,36,1,15,7
2 3450005,5500005,2070015,4370005,3541260,6290015,2982425,5970125 11110101 0,0,1,0,6,0,0
3 3450005,5500005,2070015,4370005,3541260,6290015,2982425,4341995 11110110 0,8,1,1,0,2,7
3 3450005,5500005,2070015,4370005,3541260,6290015,2982425,4341995 11110111 0,0,8,1,1,12,3
3 3450005,5500005,2070015,4370005,3541260,6290015,2982425,5970125 11110100 0,100,1,0,1,0,0
4 3450005,5500005,2070015,4370005,3541260,6290015,1240060,1512535 11110001 0,0,3,19,0,0,1
4 3450005,5500005,2070015,4370005,3541260,6290015,1240060,3270155 11110010 0,5,1,8,0,0,3
4 3450005,5500005,2070015,4370005,3541260,6290015,1240060,3270155 11110011 0,5,0,0,0,1,3
5 3450005,5500005,2070015,4370005,3541260,3190005,3000365,3491640 11111100 0,3,0,5,0,53,0
5 3450005,5500005,2070015,4370005,3541260,3190005,3000365,3491640 11111101 32,25,6,4,1,3,2
5 3450005,5500005,2070015,4370005,3541260,6290015,1240060,1512535 11110000 1,0,7,0,0,2,2
6 3450005,5500005,2070015,4370005,3541260,3190005,1300020,2740040 11111010 12,0,0,0,0,170,0
6 3450005,5500005,2070015,4370005,3541260,3190005,1300020,2740040 11111011 3,88,5,5,18,109,11
